         41373135 function calls (41372477 primitive calls) in 139.881 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      154    0.001    0.000    0.002    0.000 flavor.py:380(_conv_numpy_to_numpy)
       56    0.001    0.000    0.001    0.000 range.py:119(_simple_new)
      154    0.001    0.000    0.129    0.001 flavor.py:368(conv_to_numpy)
       56    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       28    0.001    0.000    0.001    0.000 {method '_g_open' of 'tables.hdf5extension.Group' objects}
      126    0.001    0.000    0.075    0.001 node.py:165(_v_attrs)
      448    0.001    0.000    0.001    0.000 file.py:2129(is_undo_enabled)
      462    0.001    0.000    0.002    0.000 file.py:2111(_check_writable)
      840    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      336    0.001    0.000    0.001    0.000 {built-in method builtins.max}
       14    0.001    0.000    0.002    0.000 vlarray.py:450(_getnobjects)
      154    0.001    0.000    0.001    0.000 cast.py:826(maybe_castable)
       14    0.001    0.000    0.002    0.000 inspect.py:2092(_signature_from_function)
       42    0.001    0.000    0.048    0.001 group.py:237(_g_post_init_hook)
       84    0.001    0.000    0.006    0.000 atom.py:635(__init__)
      462    0.001    0.000    0.001    0.000 file.py:2105(_iswritable)
       56    0.001    0.000    0.003    0.000 range.py:56(__new__)
       56    0.001    0.000    0.001    0.000 base.py:396(_simple_new)
       42    0.001    0.000    0.016    0.000 strings.py:159(_map)
       42    0.001    0.000    0.005    0.000 strings.py:1893(_make_accessor)
      364    0.001    0.000    0.091    0.000 numeric.py:463(asarray)
      168    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
       14    0.001    0.000    0.003    0.000 group.py:1106(__init__)
      448    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
       56    0.001    0.000    0.005    0.000 description.py:196(__init__)
      140    0.001    0.000    0.001    0.000 weakref.py:260(pop)
      154    0.001    0.000    0.130    0.001 flavor.py:113(array_of_flavor2)
      308    0.001    0.000    0.002    0.000 common.py:334(is_datetime64tz_dtype)
       42    0.001    0.000    0.001    0.000 group.py:267(__del__)
       84    0.001    0.000    0.001    0.000 {method '_g_new' of 'tables.hdf5extension.Leaf' objects}
      126    0.001    0.000    0.001    0.000 series.py:336(name)
       70    0.001    0.000    0.003    0.000 internals.py:4799(_asarray_compat)
      154    0.001    0.000    0.001    0.000 flavor.py:183(flavor_of)
       28    0.001    0.000    0.055    0.002 group.py:204(__init__)
       84    0.001    0.000    0.001    0.000 generic.py:3600(__getattr__)
       28    0.001    0.000    0.001    0.000 inspect.py:2710(__init__)
      602    0.001    0.000    0.001    0.000 file.py:2094(_check_open)
      252    0.001    0.000    0.001    0.000 proxydict.py:25(__init__)
       14    0.001    0.000    0.523    0.037 file.py:2654(close)
       56    0.001    0.000    0.001    0.000 {built-in method posix.access}
      126    0.001    0.000    0.001    0.000 weakref.py:339(__init__)
       84    0.001    0.000    0.001    0.000 series.py:300(_set_axis)
       56    0.001    0.000    0.001    0.000 pytables.py:1480(__init__)
       42    0.001    0.000    0.003    0.000 strings.py:1373(__init__)
       14    0.001    0.000    0.048    0.003 internals.py:4764(_multi_blockify)
       70    0.001    0.000    0.002    0.000 leaf.py:370(_calc_nrowsinbuf)
       14    0.001    0.000    0.006    0.000 frame.py:6419(_homogenize)
       56    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      168    0.001    0.000    0.004    0.000 inference.py:234(is_list_like)
       84    0.001    0.000    0.001    0.000 path.py:203(split_path)
    56/28    0.001    0.000    0.028    0.001 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
      126    0.001    0.000    0.404    0.003 base.py:4152(_ensure_index)
      224    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
      154    0.001    0.000    0.001    0.000 flavor.py:357(_is_numpy)
      224    0.001    0.000    0.001    0.000 {method 'groups' of '_sre.SRE_Match' objects}
      126    0.001    0.000    0.001    0.000 base.py:145(__setattr__)
       28    0.001    0.000    0.002    0.000 fromnumeric.py:1730(sum)
       14    0.000    0.000    0.001    0.000 weakref.py:102(__init__)
    28/14    0.000    0.000    0.003    0.000 inspect.py:2173(_signature_from_callable)
      210    0.000    0.000    0.004    0.000 common.py:191(is_categorical)
      126    0.000    0.000    0.001    0.000 pytables.py:2308(attrs)
       14    0.000    0.000    0.001    0.000 base.py:1315(is_unique)
       14    0.000    0.000    4.532    0.324 generic.py:1419(to_hdf)
      434    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       84    0.000    0.000    0.001    0.000 pytables.py:2629(_is_empty_array)
